id	hypothesis	change	before	after	delta	tests	verdict	note
h0	baseline capture at live seqs=2	none (live boot pin)	n/a	prose_c1=37.16 struct_c1=66.82 ttft_c1=0.22 uma_avail_spark1=9.6Gi	0	thinking-off PING; tools get_weather Wellington; vision Red not 400; count 200/200 consecutive	kept	harness separates prose vs structured; MTP structured acceptance_len=4.0 draft_acceptance=1.0; prose c=2 first wave TTFT 0.73s then 0.24s
h1	seqs=4 still admits two short streams and a lossless c=4 wave	FORCE_UNSAFE_CTX=1 MAX_NUM_SEQS=4 restart	prose_c1=37.16 struct_c1=66.82 ttft_c1=0.22 uma_avail=9.6Gi swap=5.5Gi pool=2063077	prose_c1=35.80 struct_c1=65.80 ttft_c1=0.23 prose_c4=29.80 struct_c4=57.91 n=12 uma_avail=11Gi swap=6.5Gi pool=2007318	prose_c1=-1.36 struct_c1=-1.02 inside run spread; c=4 no drops; swap +1.0Gi	thinking-off PING; tools get_weather; vision Red; count 200/200; health 200	kept	CUDA graphs 3 shapes 0.38GiB vs 2 shapes 0.18GiB. KV pool -2.7 percent. Frozen table stays c=1/c=2. Agent occupancy pin moves to 4.
h2	seqs=8 matches Spark Arena and still admits eight short streams	FORCE_UNSAFE_CTX=1 MAX_NUM_SEQS=8 restart	prose_c1=37.16 struct_c1=66.82 ttft_c1=0.22 uma_avail=9.6Gi swap=5.5Gi pool=2063077	prose_c1=39.45 struct_c1=66.58 ttft_c1=0.22 prose_c8=23.26 struct_c8=48.47 n=24 uma_avail=9.2Gi swap=5.6Gi pool=2038295	prose_c1=+2.29 struct_c1=-0.24; c=8 no drops; TTFT 0.34s; swap +0.1Gi vs baseline	thinking-off PING; tools get_weather; vision Red; count 200/200; health 200	kept	CUDA graphs 5 FULL plus 4 decode, 0.40GiB. Per-stream prose falls 39.5 to 23.3 at c=8 but no stream drops. Pin is 8. Refuse above 8.
h0-nvidia-modelopt-pin	official NVIDIA MIXED_PRECISION pin at fab0aec loads on day-0 plus PLE overlay	model.id/served_name/revision to nvidia/Qwen3.8-Flash-Next-NVFP4 fab0aec; SNAPSHOT derived from MODEL; retry EXTRA_ARGS=--quantization modelopt	prose 39.5/34.9 published, live 36.4/33.6, health 200 RadixArk 7b719225	boot fail: quantization=modelopt_mixed then AttributeError mtp.layers.48.mlp.experts has no parameter w2_weight_scale_inv. Retry remapped modelopt to modelopt_mixed and failed the same way.	n/a no decode cell	unittest+render+VALIDATE_ONLY green; live boot failed twice on MTP FP8_BLOCK_SCALES	reverted	day-0 image cannot load official MTP FP8_BLOCK_SCALES experts. Do not stack knobs on this pin. Restore health 200 RadixArk 7b719225.
opt-baseline-recapture	recapture frozen ruler on restored RadixArk 7b719225 after NVIDIA revert	none (live health 200)	19h live 36.36/33.60; published iter-h2 39.5/34.9	prose_c1=37.29 prose_c2=33.32 ttft 0.23/0.24 prose_c8=24.01 n=24	inside prose c=1 run spread; no stream drop	thinking-off PING; tools get_weather; vision Red; count 200/200; health 200	kept	evidence/opt-baseline/bench.txt sha256 24cd24a7a8b598edd92cdd2979c60a76f53a3d9b7070bedcdd332c9bebd836b8; recipe unchanged
c1-nvidia-modelopt-fab0aec	official NVIDIA MIXED_PRECISION fab0aec loads on a newer official image	model to nvidia/Qwen3.8-Flash-Next-NVFP4 fab0aec; image to nightly-aarch64@df871f17; docker/modelopt.py MTP FP8_BLOCK_SCALES overlay	prose 37.29/33.32 ttft 0.23/0.24 health 200 RadixArk 7b719225	prose 38.20/36.03 ttft 0.17/0.16 prose_c8=24.58 n=24 struct_c1=67.71 acceptance 4.0	prose_c1=+0.91 prose_c2=+2.71 ttft_c1=-0.06; no stream drop	thinking-off PING; tools get_weather Wellington; vision Red; count 200/200; health 200 nvidia id	kept	day-0 and stock nightly both died on mtp.layers.48 w2_weight_scale_inv. Overlay remaps layers.48 to layers.0 and uses Fp8MoEMethod. Structured c=2 median fell 63.89 to 49.42 because FP8 MTP acceptance dropped under concurrency. Prose and TTFT improved. evidence/opt-c1-nvidia-modelopt-fab0aec/
c2-nightly-aarch64-e962733	nightly e962733 loads MIXED_PRECISION PLE via stock Qwen4ExpPLEFp8EmbeddingMethod without VLLM_PLE_FP8_CHECKPOINT	drop refuse-guard, default 0, do not pass the env; image already df871f17 from c1	prose 38.20/36.03 ttft 0.17/0.16 health 200 with unknown env	prose 39.57/35.38 ttft 0.15/0.17 prose_c8=25.48 n=24 no PLE env	prose_c1=+1.37 prose_c2=-0.65 ttft_c1=-0.02; no stream drop	thinking-off PING; tools get_weather Wellington; vision Red; count 200/200; health 200 nvidia id; no unknown env warning	kept	official-vendor. Dedicated qwen38-flash-next not republished. cu129-nightly is the same commit on CUDA 12.9. evidence/opt-c2-nightly-aarch64-e962733/
c3-mtp-fp8-block-scales-overlay	checkpoint MTP experts at mtp.layers.0 must map onto runtime mtp.layers.48 and FP8_BLOCK_SCALES must use Fp8MoEMethod so w2_weight_scale_inv exists	docker/modelopt.py overlay already live from c1; recapture was not a new pin	prose 39.57/35.38 ttft 0.15/0.17 health 200 c2	no recipe delta vs c2 60bc4af; live serve already c2	n/a	unittest 22 ok; render --check; VALIDATE_ONLY; restore-health 200 nvidia id	reverted	skeptic rejected. Overlay stays as the c1 keep. Do not delete docker/modelopt.py. Closed recapture PR 4. evidence/opt-c3-mtp-fp8-block-scales-overlay/
c4-native-ctx-262144	native 262144 boots without VLLM_ALLOW_LONG_MAX_MODEL_LEN and holds seqs=8 short streams	recipe.yaml MAX_MODEL_LEN 262144 VLLM_ALLOW_LONG_MAX_MODEL_LEN 0; render; refuse-guard test still fails 1048576+ALLOW=0	c2 prose 39.57/35.38 ttft 0.15/0.17 prose_c8=25.48 n=24 KV 2182339 2.08x@1M uma_avail spark1 9.7Gi swap 7.0Gi	prose 43.16/36.22 ttft 0.17/0.16 prose_c8=24.39 n=24 KV 1965371 7.50x@262144 uma_avail spark1 10Gi swap 7.4Gi	prose_c1=+3.59 prose_c2=+0.84 ttft_c1=+0.01; no stream drop	thinking-off PING; tools get_weather Wellington; vision Red; count 200/200; health 200 nvidia id max_model_len=262144; unittest 23 ok	kept	official-vendor. NVIDIA Usage sample is --max-model-len 262144. 1M remains a refuse ceiling. Structured c=1 median 55.47 vs 66.76 is run spread 52.62-67.16 with acceptance_len 4.0. evidence/opt-c4-native-ctx-262144/
c5-mtp-k2	prose acceptance_len ~2.45 at k=3 so extra rejected drafts sit past the mean	recipe.yaml NUM_SPECULATIVE_TOKENS 2; render; restart	c4 prose 43.16/36.22 ttft 0.17/0.16 prose_c8=24.39 n=24 struct 55.47/57.98 acceptance 4.0/2.00	prose 42.44/37.11 ttft 0.14/0.17 prose_c8=26.92 n=24 struct 58.34/53.02 acceptance 3.0/3.0 struct_c8=41.57	prose_c1=-0.72 prose_c2=+0.89 ttft_c1=-0.02; struct_c8=-6.97; no stream drop	thinking-off PING; tools get_weather Wellington; vision Red; count 200/200; health 200 nvidia id k=2; unittest 23 ok	reverted	lab knob. Frozen prose inside c4 spread. Structured c=8 healthy k=3 cluster 47.6-50.2 vs k=2 40.8-41.6. Restore k=3. evidence/opt-c5-mtp-k2/
