ts	phase	decision	why	evidence	result
2026-09-05T10:53:38Z	frame	grounded the live TP=2 seqs=8 serve as the opt ruler	health 200 for RadixArk/Qwen3.8-Flash-Next-NVFP4, exclusive GPU container, NCCL_IB_HCA=rocep1s0f1	evidence/opt-baseline/health.txt evidence/opt-baseline/inspect-args.json	metric is frozen bench_decode.py prose c=1/c=2 median tok/s
2026-09-05T10:53:38Z	harness	did not restart; captured the 19h live pin	run.sh boots only if health is not already 200 for this hf_id	evidence/opt-baseline/started-at.txt	started 2026-09-04T16:05:46Z
2026-09-05T10:53:38Z	gate	correctness gate green	thinking-off, tools, vision, greedy count must pass before tok/s counts	evidence/opt-baseline/thinking-off.json evidence/opt-baseline/tools.json evidence/opt-baseline/vision.json evidence/opt-baseline/count.json	PING; get_weather Wellington; Red; 200/200 consecutive
2026-09-05T10:53:38Z	baseline	recorded frozen SUMMARY and occupancy c=8	one command, 3-run median, prose plus structured, c=1 2 8	evidence/opt-baseline/bench.txt sha256 5cb32cc297596e9c2f057f66b8db425193402719295714b5e4e9b0782b560b63	prose_c1=36.36 prose_c2=33.60 ttft_c1=0.23 ttft_c2=0.24 prose_c8=23.48 n=24 no drop
2026-09-05T10:53:38Z	redact	redacted HF tokens from inspect-env.json	env dump had live hub tokens; evidence must not keep them	evidence/opt-baseline/inspect-env.json	HF_TOKEN and HUGGING_FACE_HUB_TOKEN set to REDACTED
2026-09-05T10:54:05Z	fork	kept the 19h live numbers instead of restarting for a fresh boot	health was already 200 for this hf_id; a restart would mix a fresh engine into a no-change baseline	evidence/opt-baseline/bench.txt.summary.json vs evidence/iter-h2/bench.txt.summary.json	live prose 36.36/33.60 vs published 39.45/34.95; later restarts must recapture or they will look like wins
2026-09-05T12:57:07Z	frame	recaptured the restored TP=2 seqs=8 serve as the opt ruler	health 200 for RadixArk/Qwen3.8-Flash-Next-NVFP4 on a new boot after NVIDIA pin revert, exclusive GPU container, NCCL_IB_HCA=rocep1s0f1	evidence/opt-baseline/health.txt evidence/opt-baseline/inspect-args.json evidence/opt-baseline/started-at.txt	metric is frozen bench_decode.py prose c=1/c=2 median tok/s
2026-09-05T12:57:07Z	harness	did not restart; recaptured the 2026-09-05T11:48:45Z pin	run.sh boots only if health is not already 200 for this hf_id; prior 19h receipts were a different container	evidence/opt-baseline/started-at.txt evidence/opt-baseline/prior-capture-note.txt	started 2026-09-05T11:48:45Z
2026-09-05T12:57:07Z	gate	correctness gate green on this boot	thinking-off, tools, vision, greedy count must pass before tok/s counts	evidence/opt-baseline/thinking-off.json evidence/opt-baseline/tools.json evidence/opt-baseline/vision.json evidence/opt-baseline/count.json	PING; get_weather Wellington; Red; 200/200 consecutive
2026-09-05T12:57:07Z	baseline	recorded frozen SUMMARY and occupancy c=8 on this boot	one command, 3-run median, prose plus structured, c=1 2 8	evidence/opt-baseline/bench.txt sha256 24cd24a7a8b598edd92cdd2979c60a76f53a3d9b7070bedcdd332c9bebd836b8	prose_c1=37.29 prose_c2=33.32 ttft_c1=0.23 ttft_c2=0.24 prose_c8=24.01 n=24 no drop
2026-09-05T12:57:08Z	redact	redacted HF tokens from inspect-env.json and encoded it in commands.sh	env dump had live hub tokens; the previous capture had to redact by hand	evidence/opt-baseline/inspect-env.json evidence/opt-baseline/commands.sh	HF_TOKEN and HUGGING_FACE_HUB_TOKEN set to REDACTED
