ts	phase	decision	why	evidence	result
2026-09-04T15:48:28Z	h0-baseline	kept live seqs=2 as the occupancy baseline	first frozen SUMMARY and correctness gate on the boot pin	evidence/baseline/bench.txt.summary.json	thinking-off PING; tools get_weather; vision Red; count 200/200; prose_c1=37.16 struct_c1=66.82
2026-09-04T16:05:10Z	h1-seqs4	kept MAX_NUM_SEQS=4 after live measure	c=4 waves did not drop a stream; frozen c=1/c=2 stayed inside noise; correctness still green	evidence/iter-h1/bench.txt.summary.json	prose_c1=35.80 struct_c1=65.80 prose_c4=29.80 n=12 uma_avail_spark1=11Gi swap=6.5Gi
2026-09-04T16:22:29Z	h2-seqs8	kept MAX_NUM_SEQS=8 as the occupancy pin	eight short streams completed with no drop; frozen c=1/c=2 held; UMA leftover did not collapse	evidence/iter-h2/bench.txt.summary.json	prose_c1=39.45 struct_c1=66.58 prose_c8=23.26 n=24 uma_avail_spark1=9.2Gi swap=5.6Gi
2026-09-05T11:00:59Z	frame	grounded official NVIDIA MIXED_PRECISION pin as h0	RadixArk 7b719225 is a community host of the same architecture. Official card is MIXED_PRECISION NVFP4 experts, FP8_BLOCK_SCALES MTP, per-tensor FP8 PLE. Frozen ruler stays bench_decode.py.	evidence/opt-baseline/bench.txt.summary.json https://huggingface.co/nvidia/Qwen3.8-Flash-Next-NVFP4	metric is frozen prose c=1/c=2 versus 39.5/34.9 published and 36.4/33.6 live
2026-09-05T11:00:59Z	harness	froze bench_decode.py against opt-baseline sha256	same file hash as evidence/opt-baseline/harness.sha256 before the model-default string change	2155a73427cd7f82d23ad655f2e2b2677fafd84bfc4e914c92c141eb0d518220	harness math unchanged, default model string follows served_name
2026-09-05T11:15:42Z	acquire	HF_HUB_DISABLE_XET=1 blocked model-fp8-mtp-ple.safetensors (53.72G)	regular download rejects files that large. hf_xet is in ~/.hf-cli/venv. Resume with xet enabled.	evidence/opt-h0-nvidia-modelopt-pin/hf-download-spark1.log	shards 00001-00010 present, MTP/PLE shard missing, tokenizer files also missing
2026-09-05T11:37:30Z	boot	auto-detect modelopt_mixed failed on MTP weight_scale_inv	mtp.layers.48.mlp.experts has no parameter w2_weight_scale_inv for checkpoint weight down_proj.weight_scale_inv. Image selected quantization=modelopt_mixed. Retry once with EXTRA_ARGS --quantization modelopt per candidate and NVIDIA card command.	evidence/opt-h0-nvidia-modelopt-pin/boot-fail-mixed/needles.txt	boot failed, retrying modelopt
2026-09-05T12:03:24Z	revert	reverted NVIDIA MIXED_PRECISION pin and restored RadixArk 7b719225	day-0 image 0.1.dev20073+g8e685d198 auto-selects modelopt_mixed then fails MTP load. AttributeError: mtp.layers.48.mlp.experts has no parameter w2_weight_scale_inv. --quantization modelopt remaps to the same path. GB10 is not on the NVIDIA hardware list.	evidence/opt-h0-nvidia-modelopt-pin/boot-fail-mixed/needles.txt evidence/opt-h0-nvidia-modelopt-pin/boot-fail-modelopt/needles.txt evidence/opt-h0-nvidia-modelopt-pin/restore-health.txt	reverted. restore health 200, models list RadixArk/Qwen3.8-Flash-Next-NVFP4
2026-09-05T12:57:08Z	opt-baseline	recaptured frozen bench on restored RadixArk 7b719225 seqs=8	NVIDIA MIXED_PRECISION revert left a new boot; old 19h receipts cannot be the opt baseline	evidence/opt-baseline/bench.txt.summary.json	prose_c1=37.29 prose_c2=33.32 ttft_c1=0.23 ttft_c2=0.24 prose_c8=24.01 n=24 health 200
2026-09-05T13:05:30Z	frame	start c1 NVIDIA ModelOpt pin fab0aec	operator focus is official nvidia modelopt plus any newer official vLLM image that loads it	evidence/opt-c1-nvidia-modelopt-fab0aec/pre-swap-health.txt	pre-swap health 200 RadixArk 7b719225
